Lat,Long,Type,Count,State
42.7100664652117,23.2900695148031,1100,4,ДОБРО
42.7024710697575,23.2970930598052,1100,4,ДОБРО
42.7099121324,23.2935150930709,1100,3,ДОБРО
42.712182459263,23.2945928415972,1100,1,ДОБРО
42.707185396017,23.3015908874206,1100,1,ДОБРО
42.7094971922433,23.2961537138279,1100,2,ДОБРО
42.7052175783953,23.2931181289091,1100,3,ДОБРО
42.7073782623596,23.2931797329812,1100,2,ДОБРО
42.7169035768228,23.2803694250478,1100,1,ДОБРО
42.7031997117704,23.2937309587074,1100,1,ДОБРО
42.7034053467561,23.2971201935592,1100,2,ДОБРО
42.7059601092671,23.2964381320897,1100,1,ДОБРО
42.7070549210675,23.3043081468374,1100,1,ДОБРО
42.7058102776014,23.2978550682308,1100,2,ДОБРО
42.7067067440055,23.3033409498989,1100,3,ДОБРО
42.7058853715164,23.2935082495467,1100,1,ДОБРО
42.7070773475366,23.3035047933733,1100,2,ДОБРО
42.7032971575797,23.2911968001488,1100,2,ДОБРО
42.7035551611328,23.2960573176316,1100,3,ДОБРО
42.7034198832553,23.2903406503303,1100,1,ДОБРО
42.7060812126427,23.2909731854513,1100,2,ДОБРО
42.7101897971459,23.2963112959954,1100,1,ДОБРО
42.7079507519319,23.2938968386568,1100,2,ДОБРО
42.7060921694449,23.2927244919791,1100,4,ДОБРО
42.7061162736824,23.2848510770478,1100,2,ДОБРО
42.7064096877737,23.2938722061668,1100,1,ДОБРО
42.7156555359635,23.2879966045731,1100,1,ДОБРО
42.7120226159686,23.2924945349564,1100,3,ДОБРО
42.7090503377043,23.2811304856754,1100,2,ДОБРО
42.7196771003205,23.2916471678758,1100,1,ДОБРО
42.7054118091993,23.2939768891895,1100,3,ДОБРО
42.7061091505414,23.2947343451007,1100,2,ДОБРО
42.7062471653809,23.2956422288433,1100,2,ДОБРО
42.709331440053,23.2821179531287,1100,2,ДОБРО
42.717510868106,23.2990521461544,1100,2,ДОБРО
42.7062688541774,23.2972734237154,1100,1,ДОБРО
42.7101276933494,23.2811787708608,1100,1,ДОБРО
42.7088887419912,23.3021791467858,1100,1,ДОБРО
42.7098622348819,23.2969627000556,1100,2,ДОБРО
42.7033339625088,23.2908299236877,1100,1,ДОБРО
42.7047030899553,23.2918793445733,1100,1,ДОБРО
42.7097612622779,23.2801678169825,1100,2,ДОБРО
42.7101602758519,23.2930048284097,1100,4,ДОБРО
42.709418858645,23.2786079601085,1100,1,ДОБРО
42.7100251918586,23.2853049570221,1100,3,ДОБРО
42.7057515196488,23.2971546532788,1100,1,ДОБРО
42.7063455645637,23.2979969990289,1100,1,ДОБРО
42.7090863646318,23.2850774450856,1100,1,ДОБРО
42.703164834519,23.2919760721134,1100,2,ДОБРО
42.7099950461169,23.2984355468206,1100,2,ДОБРО
42.7085691198833,23.2800459822012,1100,3,ДОБРО
42.7101083992252,23.3000759521276,1100,1,ДОБРО
42.7136807227471,23.2962116289208,1100,2,ДОБРО
42.7095399499258,23.2861661313436,1100,2,ДОБРО
42.7101354556846,23.2884845849093,1100,1,ДОБРО
42.709867272846,23.2943295332288,1100,2,ДОБРО
42.7102269918152,23.3011306641565,1100,2,ДОБРО
42.718146302183,23.2875708654454,1100,1,ДОБРО
42.7052475643068,23.2921580618308,1100,3,ДОБРО
42.7193907540906,23.296108127602,1100,2,ДОБРО
42.7050670090906,23.2852287014046,1100,3,ДОБРО
42.7098082108901,23.2866053233848,1100,2,ДОБРО
42.7152508556382,23.2909029212149,1100,1,ДОБРО
42.7043718328246,23.2934894725122,1100,1,ДОБРО
42.7161433578414,23.2849562619103,1100,1,ДОБРО
42.7096394660225,23.2880337615931,1100,2,ДОБРО
42.7042422746797,23.2982491121583,1100,2,ДОБРО
42.7087966093437,23.2811345163624,1100,1,ДОБРО
42.7176192931782,23.2883370952666,1100,2,ДОБРО
42.7169653891417,23.2916643694403,1100,1,ДОБРО
42.7104701241672,23.2914790839365,1100,5,ДОБРО
42.7041154921861,23.2899454782331,1100,3,ДОБРО
42.7098746215039,23.2838074352414,1100,2,ДОБРО
42.7043931318753,23.2885857040442,1100,2,ДОБРО
42.7179162167005,23.287494562916,1100,1,ДОБРО
42.7032567741999,23.2914963663908,1100,1,ДОБРО
42.710164640342,23.2920144132542,1100,2,ДОБРО
42.7101427329667,23.2882535712927,1100,1,ДОБРО
42.7177450150467,23.2869570070776,1100,2,ДОБРО
42.7035553944507,23.2901184751209,1100,1,ДОБРО
42.7157256921697,23.2838540752658,1100,2,ДОБРО
42.704867590219,23.287243252934,1100,2,ДОБРО
42.7102386439313,23.2935821943353,1100,2,ДОБРО
42.7102960741664,23.3001301201423,1100,2,ДОБРО
42.7099036284901,23.2826262927399,1100,2,ДОБРО
42.7105445605439,23.2955812853704,1100,1,ДОБРО
42.7089601101218,23.2846405250453,1100,3,ДОБРО
42.7097765288985,23.2869884536365,1100,2,ДОБРО
42.7152451193252,23.2892136100879,1100,1,ДОБРО
42.7092532444168,23.2779885551664,1100,1,ДОБРО
42.7096232270973,23.2793390170684,1100,2,ДОБРО
42.7085555882916,23.2813483574267,1100,1,ДОБРО
42.715051566028,23.2901117466515,1100,2,ДОБРО
42.7171211617944,23.2918122636413,1100,1,ДОБРО
42.7086484961556,23.2818476448059,1100,1,ДОБРО
42.7080099363964,23.2943976115757,1100,2,ДОБРО
42.708787374377,23.2823846343535,1100,1,ДОБРО
42.708662502224,23.2832221497467,1100,2,ДОБРО
42.7085194729166,23.2832226602002,1100,4,ДОБРО
42.7071671628864,23.3002708618988,1100,2,ДОБРО
42.7088208383504,23.2839612492276,1100,1,ДОБРО
42.7141705198091,23.2981602783048,1100,2,ДОБРО
42.7082785514065,23.28228826124,1100,2,ДОБРО
42.7086605084702,23.2787139846302,1100,1,ДОБРО
42.7087426281508,23.2781010034744,1100,1,ДОБРО
42.7081565512578,23.2802645349645,1100,3,ДОБРО
42.7087454178383,23.2872595310652,1100,3,ДОБРО
42.7078935897184,23.2873656996288,1100,2,ДОБРО
42.7183938707131,23.290709805243,1100,2,ДОБРО
42.7081765086003,23.2852921785652,1100,3,ДОБРО
42.7082034120777,23.2843085903578,1100,1,ДОБРО
42.7079333922355,23.2810584947747,1100,2,ДОБРО
42.7076566126144,23.2796365338503,1100,2,ДОБРО
42.7082211967035,23.2783839739215,1100,1,ДОБРО
42.7106910132837,23.2971100289921,1100,3,ДОБРО
42.7142949587034,23.2975851143107,1100,1,ДОБРО
42.7144017881792,23.2979903354984,1100,1,ДОБРО
42.7160011278053,23.2982800605953,1100,1,ДОБРО
42.7157603930825,23.2971903559038,1100,1,ДОБРО
42.7164809127405,23.287670498072,1100,3,ДОБРО
42.7175817680523,23.2918822307398,1100,2,ДОБРО
42.7125906984792,23.2919294479312,1100,2,ДОБРО
42.7121025341637,23.2902379470209,1100,1,ДОБРО
42.7125730584803,23.2921788784606,1100,2,ДОБРО
42.7089960177197,23.2986471362565,1100,3,ДОБРО
42.712181931316,23.2889701465504,1100,2,ДОБРО
42.7110222426336,23.2945970511208,1100,1,ДОБРО
42.711195214317,23.2981815579599,1100,1,ДОБРО
42.7108178647672,23.2835151193553,1100,1,ДОБРО
42.7110413686571,23.2901112557775,1100,2,ДОБРО
42.7111037267533,23.2930462458693,1100,2,ДОБРО
42.7107861440664,23.2950647138871,1100,2,ДОБРО
42.7108313473663,23.2989138003248,1100,2,ДОБРО
