Lat,Long,Type,Count,State
42.6961910880501,23.344893919405,1100,1,ДОБРО
42.7033258923623,23.3341558523697,1100,1,ДОБРО
42.6944195769542,23.3525144948488,1100,1,ДОБРО
42.6970669374575,23.3542376753645,1100,1,ДОБРО
42.6961728008463,23.3453662559104,1100,2,ДОБРО
42.7043698520043,23.3269493558139,1100,1,ДОБРО
42.6995677278537,23.3271072294934,1100,3,ДОБРО
42.69865007362,23.3455301721169,1100,2,ДОБРО
42.6972195819299,23.3541778030201,1100,1,ДОБРО
42.7018931038119,23.325230497323,1100,1,ДОБРО
42.6972576375092,23.3472138471526,1100,2,ДОБРО
42.6954258459425,23.3362428530685,1100,1,ДОБРО
42.6980223759446,23.3471188442071,1100,1,ДОБРО
42.6987058660871,23.3462185023774,1100,2,ДОБРО
42.7031943183533,23.3314958780926,1100,2,ДОБРО
42.6916381070966,23.352550579383,1100,4,ДОБРО
42.700184271259,23.3341419064143,1100,1,ДОБРО
42.6983227475258,23.3441791755776,1100,1,ДОБРО
42.6937937441813,23.3440768280181,1100,1,ДОБРО
42.7016055943182,23.3365824873744,1100,3,ДОБРО
42.7025205783595,23.3291796526556,1100,1,ДОБРО
42.6988773274905,23.347223419653,1100,1,ДОБРО
42.6996516067723,23.3278099597684,1100,2,ДОБРО
42.699842931911,23.3342396715575,1100,1,ДОБРО
42.6980791090547,23.3455119253924,1100,2,ДОБРО
42.694106152873,23.3366284673105,1100,3,ДОБРО
42.6954296334861,23.3435373829937,1100,2,ДОБРО
42.6998907976548,23.3344425118689,1100,1,ДОБРО
42.7029194988371,23.3294390258289,1100,1,ДОБРО
42.6996994068268,23.3315934333302,1100,1,ДОБРО
42.6985001125699,23.3428019854592,1100,1,ДОБРО
42.7035457128153,23.3269651921166,1100,2,ДОБРО
42.6985555321709,23.3415681059251,1100,1,ДОБРО
42.6984621953679,23.3406140016996,1100,1,ДОБРО
42.6984844982009,23.3402328980156,1100,1,ДОБРО
42.6979186861856,23.3256580341517,1100,2,ДОБРО
42.6923608666423,23.3449481658228,1100,3,ДОБРО
42.692657113971,23.3502095298633,1100,1,ДОБРО
42.7000729417601,23.3385636940929,1100,1,ДОБРО
42.6951486180633,23.3481533278579,1100,2,ДОБРО
42.6953832740398,23.3366379814649,1100,1,ДОБРО
42.6963179327568,23.3421685458968,1100,1,ДОБРО
42.6983544841893,23.3385804565242,1100,3,ДОБРО
42.6990787992247,23.3418914622455,1100,1,ДОБРО
42.6963454047284,23.3415475124798,1100,1,ДОБРО
42.698463634917,23.3245769695983,1100,5,ДОБРО
42.6981590784388,23.3378800537474,1100,1,ДОБРО
42.7022323024734,23.337999354784,1100,2,ДОБРО
42.7020472506163,23.329094014525,1100,1,ДОБРО
42.6987709362076,23.3398618744425,1100,1,ДОБРО
42.6962942501124,23.3505800241645,1100,1,ДОБРО
42.6995269466351,23.3247826959383,1100,2,ДОБРО
42.6988967512875,23.3423323820356,1100,1,ДОБРО
42.6989183423128,23.3428966514688,1100,1,ДОБРО
42.6989544937587,23.3438720803188,1100,1,ДОБРО
42.7029023209209,23.3367069217764,1100,1,ДОБРО
42.698990441167,23.3444131490853,1100,2,ДОБРО
42.698015319539,23.3478336989594,1100,1,ДОБРО
42.7038169440052,23.3349010173473,1100,2,ДОБРО
42.6939061935867,23.354202262973,1100,2,ДОБРО
42.7025642566647,23.3353449398717,1100,2,ДОБРО
42.6990451748733,23.3394763827858,1100,1,ДОБРО
42.7010093188064,23.3248135305215,1100,1,ДОБРО
42.6992265376609,23.3413355145395,1100,1,ДОБРО
42.6931427834706,23.3514129663586,1100,2,ДОБРО
42.7042342315934,23.3300935950879,1100,2,ДОБРО
42.6994046468094,23.341607725228,1100,1,ДОБРО
42.6993537291814,23.3409123592924,1100,1,ДОБРО
42.7030897286447,23.3234974613888,1100,2,ДОБРО
42.7026081328918,23.3333569079521,1100,1,ДОБРО
42.6992675689169,23.3399944486615,1100,1,ДОБРО
42.7020528780145,23.3281386214368,1100,2,ДОБРО
42.6933956777255,23.3521934157224,1100,3,ДОБРО
42.6964265836297,23.3399581076721,1100,1,ДОБРО
42.6993374294635,23.3417787298606,1100,1,ДОБРО
42.7000601413967,23.3419750944275,1100,1,ДОБРО
42.7001349946206,23.3423724531361,1100,1,ДОБРО
42.6950373342972,23.3394415037008,1100,1,ДОБРО
42.7006436283322,23.341410517125,1100,1,ДОБРО
42.7004523228008,23.3404191831361,1100,1,ДОБРО
42.6995209693729,23.3334101768116,1100,1,ДОБРО
42.6896159043885,23.3463326047602,1100,1,ДОБРО
42.7016848692391,23.3272889673583,1100,1,ДОБРО
42.6918799312414,23.3437151773694,1100,2,ДОБРО
42.7042799421891,23.3282413331376,1100,1,ДОБРО
42.7044840744368,23.3256791967815,1100,2,ДОБРО
42.7031643992808,23.3362188780948,1100,2,ДОБРО
42.6969985878094,23.35280130471,1100,2,ДОБРО
42.7018399938936,23.3230770889109,1100,1,ДОБРО
42.7040929540657,23.3327314496142,1100,2,ДОБРО
42.7041574441685,23.3331865510773,1100,1,ДОБРО
42.7022042607605,23.3311980954731,1100,2,ДОБРО
42.7028918136338,23.333312708672,1100,1,ДОБРО
42.7022980885863,23.3271953990576,1100,1,ДОБРО
42.7018215340035,23.3240469709473,1100,2,ДОБРО
42.696348440374,23.3497685599516,1100,2,ДОБРО
