Lat,Long,Type,Count,State
42.6615666792381,23.2580322127699,240,1,ДОБРО
42.6265182972275,23.3310984102455,240,1,ДОБРО
42.6389735280977,23.3093064124309,120,1,ДОБРО
42.6593886597976,23.2712783480981,1100,1,ДОБРО
42.6304517610578,23.3178481289123,240,1,ДОБРО
42.6221008236838,23.3261281039738,110,1,ДОБРО
42.656223211341,23.2355550723035,110,1,ДОБРО
42.6618413933213,23.2398166818929,110,1,ДОБРО
42.6606699558681,23.2383362525275,120,1,ДОБРО
42.619302302839,23.3377900597652,240,1,ДОБРО
42.6333139594713,23.1955935439479,110,1,ДОБРО
42.6632255179982,23.2730517106412,240,1,ДОБРО
42.6614096493329,23.2398671480723,120,1,ДОБРО
42.66071904184,23.2383650521748,120,1,ДОБРО
42.6303504021442,23.3333971594146,1100,2,ДОБРО
42.6370281254476,23.3078001123348,240,1,ДОБРО
42.6626826077166,23.2645719132944,120,1,ДОБРО
42.628049060714,23.1946507073476,110,1,ДОБРО
42.6579839581069,23.2466409014371,110,4,ДОБРО
42.6618435271835,23.2507005103353,110,2,ДОБРО
42.6331786298071,23.3192860605117,1100,3,ДОБРО
42.6619183748314,23.2626052219902,110,1,ДОБРО
42.6189360610693,23.337714527398,240,1,ДОБРО
42.6334146959621,23.1957509997332,110,1,ДОБРО
42.6588758817987,23.2449123583589,110,2,ДОБРО
42.661338239194,23.2397280937148,120,1,ДОБРО
42.6574438571335,23.2369505025963,110,1,ДОБРО
42.6553723560161,23.2340772616855,110,2,ДОБРО
42.6607433802823,23.2383992179063,110,1,ДОБРО
42.6604225216937,23.2371459293952,120,4,ДОБРО
42.661422299655,23.2397066337838,120,1,ДОБРО
42.6335444301813,23.1957852579785,110,2,ДОБРО
42.6672549425444,23.2441312872325,120,1,ДОБРО
42.6138081243641,23.3335562083517,240,1,ДОБРО
42.6595504288323,23.2557189223468,110,1,ДОБРО
42.6144321827614,23.3327673633202,240,1,ДОБРО
42.6298600560064,23.1919551060092,110,2,ДОБРО
42.6618448861856,23.2398591347853,120,2,ДОБРО
42.659140898014,23.2429593386884,1100,1,ДОБРО
42.6219954717191,23.3281052941444,240,1,ДОБРО
42.659224199993,23.2485761254457,110,1,ДОБРО
42.6300014048943,23.1921038045899,110,1,ДОБРО
42.6615726077279,23.2395046079816,240,2,ДОБРО
42.6300393609308,23.1921833884392,240,1,ДОБРО
42.6567563101029,23.2367068960916,110,2,ДОБРО
42.6616552636364,23.2394553087537,120,2,ДОБРО
42.6584744005019,23.2397108156743,1100,2,ДОБРО
42.6691852733239,23.2490651493469,120,1,ДОБРО
42.6220017791625,23.3279540088042,240,1,ДОБРО
42.6597609909372,23.2714788695078,1100,1,ДОБРО
42.6592403483444,23.2486119340652,240,1,ДОБРО
42.6298668925318,23.1919044970313,240,2,ДОБРО
42.6617152559331,23.2396035494229,120,1,ДОБРО
42.6217109943923,23.3275589486826,240,1,ДОБРО
42.6596337433664,23.2714615804948,240,1,ДОБРО
42.625927736479,23.330687778783,120,1,ДОБРО
42.6190692854817,23.1898453600816,1100,1,ДОБРО
42.6056648629023,23.166849891409,110,1,ДОБРО
42.6615710693082,23.2580107615543,110,2,ДОБРО
42.6592258179752,23.2557662642994,1100,2,ДОБРО
42.6142445323462,23.3330045741667,120,1,ДОБРО
42.6237729416335,23.3413530415134,120,1,ДОБРО
42.6260393230872,23.1974468772232,110,2,ДОБРО
42.6297681069184,23.1918440608368,240,1,ДОБРО
42.6617294653495,23.2398066231842,120,2,ДОБРО
42.6615557176236,23.2585865390751,240,4,ДОБРО
42.6330830974118,23.1919503657388,240,1,ДОБРО
42.62837226855,23.200100404338,110,1,ДОБРО
42.6616619406405,23.243309233427,110,3,ДОБРО
42.6684078225339,23.2537108270078,1100,2,ДОБРО
42.6131259563424,23.3350800615293,240,1,ДОБРО
42.6618466828565,23.2399098011956,240,1,ДОБРО
42.6687145019289,23.2543817890432,1100,1,ДОБРО
42.6238030784164,23.3343889086931,120,1,ДОБРО
42.6618089702364,23.2400301342394,120,2,ДОБРО
42.6241824196937,23.3345352568755,120,1,ДОБРО
42.6655670744586,23.2683662308358,120,2,ДОБРО
42.6552881196826,23.2514674546665,240,1,ДОБРО
42.6637048729777,23.2693729001939,240,1,ДОБРО
42.6618026220127,23.2400162540612,110,2,ДОБРО
42.6595587603748,23.2448557845217,240,1,ДОБРО
42.6636865506306,23.2695009336781,240,1,ДОБРО
42.6241265282182,23.3347587356645,240,1,ДОБРО
42.6620159725125,23.2402450943786,110,1,ДОБРО
42.6488179808429,23.2641718105561,240,1,ДОБРО
42.6579677026862,23.2393209183572,110,2,ДОБРО
42.6323876796965,23.3080896258461,240,2,ДОБРО
42.6249892999469,23.1916458961958,110,1,ДОБРО
42.6172167724635,23.3395799825543,1100,1,ДОБРО
42.6606636348853,23.2398988395161,110,1,ДОБРО
42.6596117456683,23.2394805995972,1100,2,ДОБРО
42.6291253030891,23.1946105560473,110,1,ДОБРО
42.6621889710502,23.2399310567605,240,1,ДОБРО
42.6249746066227,23.1916028189841,240,1,ДОБРО
42.6606687302747,23.2399418957093,120,1,ДОБРО
42.6297303700758,23.3356415492784,240,3,ДОБРО
42.6252320815962,23.3145879655738,240,1,ДОБРО
42.6632526675888,23.2635314574405,240,1,ДОБРО
42.6678876085676,23.243102026172,110,1,ДОБРО
42.6575326444641,23.2756133641187,120,1,ДОБРО
42.6617951487572,23.2380552277835,110,1,ДОБРО
42.6678133714776,23.2506035486173,240,1,ДОБРО
42.6316150708906,23.3115629415072,120,3,ДОБРО
42.6290810517582,23.1948278098401,240,1,ДОБРО
42.6623323701956,23.2399531485899,120,2,ДОБРО
42.6319946236473,23.3083782155226,240,1,ДОБРО
42.6250646829315,23.1917689216255,110,1,ДОБРО
42.6238270478301,23.3598868629334,1100,3,ДОБРО
42.6604658710556,23.2397253003898,110,1,ДОБРО
42.6240266407205,23.192020757316,240,1,ДОБРО
