Координати,Вид кофа,Брой,Състояние,
42.6995262216518,23.3537718523119,1100,4,ДОБРО,
42.7083034084524,23.3738755939853,1100,1,,
42.699406956265,23.3572005547001,1100,3,,
42.7110135691332,23.3825747133763,1100,2,,
42.7000974591148,23.357251725365,1100,1,,
42.712539995312,23.3750611761318,1100,2,,
42.7059327128475,23.3573622780324,1100,3,,
42.7013135973979,23.3575419734405,1100,2,,
42.6985900268219,23.3781362460269,110 – СГУРИЯ,1,,
42.7020988237132,23.3474215496253,1100,1,,
42.7007896985649,23.3578565765412,1100,2,,
42.7076115719102,23.3756575911334,1100,1,,
42.7001753536955,23.3601176940863,1100,2,,
42.7082526993542,23.3735097778588,1100,1,,
42.6988591396158,23.3581553300534,1100,2,,
42.7070194663728,23.3373226620239,1100,1,,
42.7110031152553,23.3779565892628,1100,1,,
42.6985987690669,23.3585435998501,1100,1,,
42.7020784056904,23.3464027872312,1100,3,,
42.7119177643638,23.3875749799722,1100,3,,
42.7002250226387,23.3582458308122,1100,3,,
42.7021376495974,23.3543892098813,1100,4,,
42.7132484806185,23.3891047532149,1100,1,,
42.7022045317034,23.3550196314138,1100,2,,
42.706976387506,23.3732163352541,1100,1,,
42.7029849923334,23.3547167848298,1100,3,,
42.6997816802834,23.3485818194788,1100,1,,
42.7072867304457,23.3730338876095,1100,2,,
42.7016087310706,23.35386052766,1100,1,,
42.7094515162395,23.3823395367,1100,2,,
42.7040645733805,23.3362519462455,1100,1,,
42.6988594534789,23.3548296848224,1100,1,ДОБРО,
42.6989668675597,23.3543005821113,1100,2,ДОБРО,
42.7089058427456,23.3870804000242,1100,2,,
42.7018360630962,23.3458668539735,1100,2,,
42.7019468539339,23.3446953485759,1100,2,,
42.7053972069352,23.3424755659933,1100,2,,
42.7130848167106,23.3857833364311,1100,2,,
42.7028301464248,23.346173565325,1100,2,,
42.7133782688334,23.3776831329901,1100,5,,
42.7024275659884,23.3458992372868,1100,2,,
42.6986204667818,23.36621217629,1100,2,,
42.709101168915,23.3664053929652,1100,2,ДОБРО,
42.7021631834861,23.3480614713073,1100,1,,
42.7072443531094,23.3858178504314,1100,2,,
42.7051747729313,23.3340708139939,1100,1,,
42.6981726868285,23.378653666018,110,1,,
42.7056723923893,23.3438178759786,1100,2,,
42.7101345066467,23.3854565535837,1100,3,,
42.7047085415098,23.3348607231947,1100,1,,
42.7086473989443,23.3802251375796,1100,3,,
42.7065846415981,23.3377609275708,1100,1,,
42.7052209182898,23.3374786698279,1100,1,,
42.7032902974756,23.3447041782656,1100,1,,
42.7082636263261,23.3860195255048,1100,3,,
42.7071557994637,23.3420044881079,1100,2,,
42.7056979659831,23.3420410741417,1100,2,,
42.705843262197,23.3427991930697,1100,1,,
42.7074519653684,23.3416481416371,1100,1,,
42.7052276863382,23.3439821529885,1100,1,,
42.7050561397273,23.345585733094,1100,3,,
42.6986382668214,23.3781220360269,110,2,,
42.7056689116432,23.3449271913343,1100,6,,
42.6998912667833,23.3710344961757,1100,3,,
42.704508884623,23.3446690083233,1100,1,,
42.7102001670845,23.3813510031075,1100,3,,
42.7071110516043,23.3399418764211,1100,1,,
42.7093714891361,23.3783273931512,1100,4,,
42.7077223813034,23.3407827649763,1100,2,,
42.7062752029029,23.340764411076,1100,2,,
42.6986609368215,23.3782454160241,240,3,,
42.7070727028701,23.3410332264044,1100,3,,
42.6989799567938,23.3710380761812,1100,2,,
42.7080540947147,23.3386441578393,1100,4,,
42.7073988564375,23.3404761388829,1100,1,,
